Package, version,Depends
libcgmanager0,  0.24-0ubuntu7.5,        "libc6 (>= 2.2.5), libdbus-1-3 (>= 1.0.2), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0)"
libcholmod2.1.2,        1:4.2.1-3ubuntu1,       "libamd2.3.1, libblas3 | libblas.so.3, libc6 (>= 2.7), libcamd2.3.1, libccolamd2.8.0, libcolamd2.8.0, liblapack3 | liblapack.so.3"
libcloog-isl4,  0.18.2-1,       "libc6 (>= 2.14), libgmp10, libisl10 (>= 0.11)"
libcolamd2.8.0, 1:4.2.1-3ubuntu1,       "libc6 (>= 2.2.5)"
libcomerr2,     1.42.9-3ubuntu1.3,      "libc6 (>= 2.17)"
libcr0, 0.8.5-2.1,      "libc6 (>= 2.15)"
libcups2,       1.7.2-0ubuntu1.7,       "libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.14), libgnutls26 (>= 2.12.17-0), libgssapi-krb5-2 (>= 1.10+dfsg~), zlib1g (>= 1:1.2.0)"
libcurl3,       7.35.0-1ubuntu2.9,      "libc6 (>= 2.17), libgssapi-krb5-2 (>= 1.10+dfsg~), libidn11 (>= 1.13), libldap-2.4-2 (>= 2.4.7), librtmp0 (>= 2.3), libssl1.0.0 (>= 1.0.1), zlib1g (>= 1:1.1.4)"
libcurl3-gnutls,        7.35.0-1ubuntu2.9,      "libc6 (>= 2.17), libgcrypt11 (>= 1.5.1), libgnutls26 (>= 2.12.17-0), libgssapi-krb5-2 (>= 1.10+dfsg~), libidn11 (>= 1.13), libldap-2.4-2 (>= 2.4.7), librtmp0 (>= 2.3), zlib1g (>= 1:1.1.4)"
libdatrie1,     0.2.8-1,        "libc6 (>= 2.14)"
libdb5.3,       5.3.28-3ubuntu3,        "libc6 (>= 2.17)"
libdbus-1-3,    1.6.18-0ubuntu4.3,      "libc6 (>= 2.14)"
libdbus-glib-1-2,       0.100.2-1,      "libc6 (>= 2.14), libdbus-1-3 (>= 1.2.16), libglib2.0-0 (>= 2.31.8)"
libdconf1,      0.20.0-1,       "libc6 (>= 2.14), libglib2.0-0 (>= 2.39.1)"
libdebconfclient0,      0.187ubuntu1,   "libc6 (>= 2.4)"
libdevmapper1.02.1,     2:1.02.77-6ubuntu2,     "libc6 (>= 2.14), libselinux1 (>= 1.32), libudev1 (>= 183), dmsetup (>= 2:1.02.77-6ubuntu2)"
libdrm-intel1,  2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.17), libdrm2 (>= 2.4.38), libpciaccess0"
libdrm-nouveau2,        2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.14), libdrm2 (>= 2.4.38)"
libdrm-radeon1, 2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.3.4), libdrm2 (>= 2.4.38)"
libdrm2,        2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.17)"
libdv4, 1.0.0-6,        "libc6 (>= 2.14)"
libelf1,        0.158-0ubuntu5.2,       "libc6 (>= 2.14)"
libenchant1c2a, 1.6.0-10ubuntu1,        "aspell-en | myspell-dictionary | aspell-dictionary | ispell-dictionary | hunspell-dictionary, libaspell15 (>= 0.60.7~20110707), libc6 (>= 2.7), libgcc1 (>= 1:4.1.1), libglib2.0-0 (>= 2.35.9), libhunspell-1.3-0, libstdc++6 (>= 4.1.1), zlib1g (>= 1:1.1.4)"
libestr0,       0.1.9-0ubuntu2, "libc6 (>= 2.14)"
libexpat1,      2.1.0-4ubuntu1.3,       "libc6 (>= 2.14)"
libexpat1-dev,  2.1.0-4ubuntu1.3,       "libexpat1 (= 2.1.0-4ubuntu1.3), libc6-dev | libc-dev"
libffi6,        3.1~rc1+r3.0.13-12ubuntu0.1,    "libc6 (>= 2.14)"
libflac8,       1.3.0-2ubuntu0.14.04.1, "libc6 (>= 2.14), libogg0 (>= 1.0rc3)"
libfontconfig1, 2.11.0-0ubuntu4.2,      "fontconfig-config (= 2.11.0-0ubuntu4.2), libc6 (>= 2.14), libexpat1 (>= 2.0.1), libfreetype6 (>= 2.2.1)"
libfontenc1,    1:1.1.2-1,      "libc6 (>= 2.14), zlib1g (>= 1:1.1.4)"
libfreetype6,   2.5.2-1ubuntu2.5,       "libc6 (>= 2.14), libpng12-0 (>= 1.2.13-4), zlib1g (>= 1:1.1.4)"
libfreetype6-dev,       2.5.2-1ubuntu2.5,       "libfreetype6 (= 2.5.2-1ubuntu2.5), libc6-dev | libc-dev, zlib1g-dev | libz-dev, libpng-dev"
libfribidi0,    0.19.6-1,       "libc6 (>= 2.4)"
libgcc-4.8-dev, 4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libgcc1 (>= 1:4.8.4-2ubuntu1~14.04.3), libgomp1 (>= 4.8.4-2ubuntu1~14.04.3), libitm1 (>= 4.8.4-2ubuntu1~14.04.3), libatomic1 (>= 4.8.4-2ubuntu1~14.04.3), libasan0 (>= 4.8.4-2ubuntu1~14.04.3), libtsan0 (>= 4.8.4-2ubuntu1~14.04.3), libquadmath0 (>= 4.8.4-2ubuntu1~14.04.3)"
libgcc1,        1:4.9.3-0ubuntu4,       "gcc-4.9-base (= 4.9.3-0ubuntu4), libc6 (>= 2.14)"
libgcrypt11,    1.5.3-2ubuntu4.4,       "libc6 (>= 2.15), libgpg-error0 (>= 1.10)"
libgd3, 2.1.0-3ubuntu0.5,       "libc6 (>= 2.14), libfontconfig1 (>= 2.9.0), libfreetype6 (>= 2.2.1), libjpeg8 (>= 8c), libpng12-0 (>= 1.2.13-4), libtiff5 (>= 4.0.3), libvpx1 (>= 1.0.0), libxpm4, zlib1g (>= 1:1.1.4)"
libgdbm3,       1.8.3-12build1, "libc6 (>= 2.14), dpkg (>= 1.15.4) | install-info"
libgdchart-gd2-noxpm,   0.11.5-7.1ubuntu1,      "libc6 (>= 2.14), libgd3 (>= 2.1.0~alpha~)"
libgdk-pixbuf2.0-0,     2.30.7-0ubuntu1.6,      "libc6 (>= 2.14), libglib2.0-0 (>= 2.37.6), libjasper1, libjpeg8 (>= 8c), libpng12-0 (>= 1.2.13-4), libtiff5 (>= 4.0.3), libx11-6, libgdk-pixbuf2.0-common (= 2.30.7-0ubuntu1.6)"
libgdk-pixbuf2.0-common,        2.30.7-0ubuntu1.6,      ""
libgeoclue0,    0.12.99-3ubuntu1,       "libc6 (>= 2.4), libdbus-glib-1-2 (>= 0.88), libglib2.0-0 (>= 2.37.3), libxml2 (>= 2.7.4)"
libgfortran3,   4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.17), libgcc1 (>= 1:4.4.0), libquadmath0 (>= 4.6)"
libgiftiio0,    1.0.9-1,        "libc6 (>= 2.4), libexpat1 (>= 1.95.8), libnifti2, zlib1g (>= 1:1.1.4)"
libgl1-mesa-dri,        10.1.3-0ubuntu0.6,      "libc6 (>= 2.17), libdrm-intel1 (>= 2.4.48), libdrm-nouveau2 (>= 2.4.38), libdrm-radeon1 (>= 2.4.31), libdrm2 (>= 2.4.38), libelf1 (>= 0.142), libexpat1 (>= 2.0.1), libgcc1 (>= 1:4.1.1), libllvm3.4, libstdc++6 (>= 4.6)"
libgl1-mesa-glx,        10.1.3-0ubuntu0.6,      "libc6 (>= 2.14), libdrm2 (>= 2.3.1), libglapi-mesa (= 10.1.3-0ubuntu0.6), libx11-6 (>= 2:1.4.99.1), libx11-xcb1, libxcb-dri2-0 (>= 1.8), libxcb-dri3-0, libxcb-glx0 (>= 1.8), libxcb-present0, libxcb-sync1, libxcb1 (>= 1.9.2), libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxshmfence1, libxxf86vm1, libudev1 | libudev0"
libgl2ps0,      1.3.8-1,        "libc6 (>= 2.14)"
libglade2-0,    1:2.6.4-2,      "libatk1.0-0 (>= 1.12.4), libc6 (>= 2.14), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk2.0-0 (>= 2.8.0), libpango-1.0-0 (>= 1.14.0), libxml2 (>= 2.7.4)"
libglapi-mesa,  10.1.3-0ubuntu0.6,      "libc6 (>= 2.3.4)"
libglib2.0-0,   2.40.2-0ubuntu1,        "libc6 (>= 2.17), libffi6 (>= 3.0.4), libpcre3, libselinux1 (>= 1.32), zlib1g (>= 1:1.2.2)"
libglib2.0-data,        2.40.2-0ubuntu1,        ""
libglu1-mesa,   9.0.0-2,        "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libgl1-mesa-glx | libgl1, libstdc++6 (>= 4.1.1)"
libgmp10,       2:5.1.3+dfsg-1ubuntu1,  "libc6 (>= 2.14)"
libgnutls-openssl27,    2.12.23-12ubuntu2.5,    "libgnutls26 (= 2.12.23-12ubuntu2.5), libc6 (>= 2.14)"
libgnutls26,    2.12.23-12ubuntu2.5,    "libc6 (>= 2.14), libgcrypt11 (>= 1.5.1), libp11-kit0 (>= 0.11), libtasn1-6 (>= 3.4-0), zlib1g (>= 1:1.1.4)"
libgomp1,       4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.17)"
libgpg-error0,  1.12-0.2ubuntu1,        "libc6 (>= 2.14)"
libgpm2,        1.20.4-6.1,     "libc6 (>= 2.15)"
libgraphite2-3, 1.3.6-1ubuntu0.14.04.1, "libc6 (>= 2.14)"
libgsm1,        1.0.13-4,       "libc6 (>= 2.3.4)"
libgssapi-krb5-2,       1.12+dfsg-2ubuntu5.2,   "libc6 (>= 2.14), libcomerr2 (>= 1.34), libk5crypto3 (>= 1.8+dfsg), libkrb5-3 (= 1.12+dfsg-2ubuntu5.2), libkrb5support0 (>= 1.12~alpha1+dfsg)"
libgssapi3-heimdal,     1.6~git20131207+dfsg-1ubuntu1.1,        "libasn1-8-heimdal (>= 1.4.0+git20110226), libc6 (>= 2.14), libcomerr2 (>= 1.01), libhcrypto4-heimdal (>= 1.4.0+git20110226), libheimntlm0-heimdal (>= 1.4.0+git20110226), libkrb5-26-heimdal (>= 1.6~git20131117), libroken18-heimdal (>= 1.4.0+git20110226)"
libgstreamer-plugins-base1.0-0, 1.2.4-1~ubuntu2,        "libc6 (>= 2.14), libglib2.0-0 (>= 2.37.3), libgstreamer1.0-0 (>= 1.2.0), liborc-0.4-0 (>= 1:0.4.18), zlib1g (>= 1:1.1.4), iso-codes"
libgstreamer-plugins-good1.0-0, 1.2.4-1~ubuntu1,        "libc6 (>= 2.2.5), libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base1.0-0 (>= 1.0.0), libgstreamer1.0-0 (>= 1.0.0)"
libgstreamer1.0-0,      1.2.4-0ubuntu1, "libc6 (>= 2.17), libglib2.0-0 (>= 2.37.3)"
libgtk2.0-0,    2.24.23-0ubuntu1.4,     "libgtk2.0-common, libatk1.0-0 (>= 1.32.0), libc6 (>= 2.14), libcairo2 (>= 1.6.4-6.1), libcups2 (>= 1.6.2), libfontconfig1 (>= 2.9.0), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libpango-1.0-0 (>= 1.28.3), libpangocairo-1.0-0 (>= 1.28.3), libpangoft2-1.0-0 (>= 1.28.3), libx11-6 (>= 2:1.4.99.1), libxcomposite1 (>= 1:0.3-1), libxcursor1 (>> 1.1.2), libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxi6, libxinerama1, libxrandr2 (>= 2:1.2.99.3), libxrender1, shared-mime-info"
libgtk2.0-bin,  2.24.23-0ubuntu1.4,     "libgtk2.0-0 (= 2.24.23-0ubuntu1.4), libgtk2.0-common"
libgtk2.0-common,       2.24.23-0ubuntu1.4,     ""
libharfbuzz-icu0,       0.9.27-1ubuntu1.1,      "libharfbuzz0b (>= 0.6.0), libicu52 (>= 52~m1-1~)"
libharfbuzz0b,  0.9.27-1ubuntu1.1,      "libc6 (>= 2.14), libfreetype6 (>= 2.3.9), libglib2.0-0 (>= 2.30.0), libgraphite2-3 (>= 1.2.2)"
libhcrypto4-heimdal,    1.6~git20131207+dfsg-1ubuntu1.1,        "libasn1-8-heimdal (>= 1.4.0+git20110226), libc6 (>= 2.14), libroken18-heimdal (>= 1.4.0+git20110226)"
libhdf5-7,      1.8.11-5ubuntu7,        "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libgfortran3 (>= 4.3), libstdc++6 (>= 4.2.1), zlib1g (>= 1:1.1.4)"
libheimbase1-heimdal,   1.6~git20131207+dfsg-1ubuntu1.1,        "libc6 (>= 2.14)"
libheimntlm0-heimdal,   1.6~git20131207+dfsg-1ubuntu1.1,        "libc6 (>= 2.4), libhcrypto4-heimdal (>= 1.4.0+git20110226), libkrb5-26-heimdal (>= 1.4.0+git20110226), libroken18-heimdal (>= 1.4.0+git20110226)"
libhunspell-1.3-0,      1.3.2-6ubuntu2.1,       "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.1.1)"
libhwloc-plugins,       1.8-1ubuntu1.14.04.1,   "libc6 (>= 2.4), libltdl7 (>= 2.4.2), libopencl-1.1-1, libpciaccess0, libxml2 (>= 2.7.4), ocl-icd-libopencl1 (>= 1.0) | libopencl1, libhwloc5"
libhwloc5,      1.8-1ubuntu1.14.04.1,   "libc6 (>= 2.14), libltdl7 (>= 2.4.2), libnuma1"
libhx509-5-heimdal,     1.6~git20131207+dfsg-1ubuntu1.1,        "libasn1-8-heimdal (>= 1.4.0+git20110226), libc6 (>= 2.14), libcomerr2 (>= 1.34), libhcrypto4-heimdal (>= 1.4.0+git20110226), libheimbase1-heimdal (>= 1.6~git20131117), libroken18-heimdal (>= 1.4.0+git20110226), libwind0-heimdal (>= 1.4.0+git20110226)"
libibverbs1,    1.1.7-1ubuntu1.1,       "libc6 (>= 2.14), adduser"
libice6,        2:1.0.8-2,      "libc6 (>= 2.14), x11-common"
libicu52,       52.1-3ubuntu0.4,        "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0)"
libidn11,       1.28-1ubuntu2.1,        "libc6 (>= 2.14)"
libiec61883-0,  1.2.0-0.1ubuntu3,       "libc6 (>= 2.3.4), libraw1394-11"
libisl10,       0.12.2-1,       "libc6 (>= 2.14), libgmp10"
libitm1,        4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.14)"
libjack-jackd2-0,       1.9.9.5+20130622git7de15e7a-1ubuntu1,   "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libsamplerate0 (>= 0.1.7), libstdc++6 (>= 4.6)"
libjasper1,     1.900.1-14ubuntu3.3,    "libc6 (>= 2.14), libjpeg8 (>= 8c)"
libjavascriptcoregtk-1.0-0,     2.4.10-0ubuntu0.14.04.1,        "libc6 (>= 2.14), libglib2.0-0 (>= 2.36.0), libicu52 (>= 52~m1-1~), libstdc++6 (>= 4.8.1), zlib1g (>= 1:1.1.4)"
libjbig0,       2.0-2ubuntu4.1, "libc6 (>= 2.4)"
libjpeg-turbo8, 1.3.0-0ubuntu2, "libc6 (>= 2.14)"
libjpeg8,       8c-2ubuntu8,    "libjpeg-turbo8 (>= 1.1.90+svn722-1ubuntu6)"
libjs-excanvas, 0.r3-3, ""
libjson-c2,     0.11-3ubuntu1.2,        "libc6 (>= 2.14)"
libjson0,       0.11-3ubuntu1.2,        "libjson-c2"
libk5crypto3,   1.12+dfsg-2ubuntu5.2,   "libc6 (>= 2.14), libkrb5support0 (>= 1.12~alpha1+dfsg)"
libkeyutils1,   1.5.6-1,        "libc6 (>= 2.14)"
libklibc,       2.0.3-0ubuntu1.14.04.1, ""
libkmod2,       15-0ubuntu6,    "libc6 (>= 2.17)"
libkrb5-26-heimdal,     1.6~git20131207+dfsg-1ubuntu1.1,        "libasn1-8-heimdal (>= 1.6~git20131117), libc6 (>= 2.15), libcomerr2 (>= 1.41.11), libhcrypto4-heimdal (>= 1.4.0+git20110226), libheimbase1-heimdal (>= 1.6~git20131117), libhx509-5-heimdal (>= 1.4.0+git20110226), libroken18-heimdal (>= 1.6~git20131117), libsqlite3-0 (>= 3.5.9), libwind0-heimdal (>= 1.6~git20120311)"
libkrb5-3,      1.12+dfsg-2ubuntu5.2,   "libc6 (>= 2.16), libcomerr2 (>= 1.34), libk5crypto3 (>= 1.9+dfsg~beta1), libkeyutils1, libkrb5support0 (= 1.12+dfsg-2ubuntu5.2)"
libkrb5support0,        1.12+dfsg-2ubuntu5.2,   "libc6 (>= 2.14)"
liblapack3,     3.5.0-2ubuntu1, "libblas3 | libblas.so.3, libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libgfortran3 (>= 4.6)"
liblcms2-2,     2.5-0ubuntu4.1, "libc6 (>= 2.14)"
libldap-2.4-2,  2.4.31-1+nmu2ubuntu8.3, "libc6 (>= 2.14), libgcrypt11 (>= 1.5.1), libgnutls26 (>= 2.12.17-0), libgssapi3-heimdal (>= 1.4.0+git20110226), libsasl2-2 (>= 2.1.24)"
libllvm3.4,     1:3.4-1ubuntu3, "libc6 (>= 2.15), libffi6 (>= 3.0.4), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), libtinfo5"
liblocale-gettext-perl, 1.05-7build3,   "libc6 (>= 2.2.5)"
liblockfile-bin,        1.09-6ubuntu1,  "libc6 (>= 2.14)"
liblockfile1,   1.09-6ubuntu1,  "libc6 (>= 2.14), liblockfile-bin (>= 1.09-6ubuntu1)"
liblog-message-simple-perl,     0.10-1, "perl"
libltdl7,       2.4.2-1.7ubuntu1,       "libc6 (>= 2.14)"
liblzma5,       5.1.1alpha+20120614-2ubuntu2,   "libc6 (>= 2.14)"
libmagic1,      1:5.14-2ubuntu3.3,      "libc6 (>= 2.15), zlib1g (>= 1:1.1.4)"
libmodule-pluggable-perl,       5.1-1,  "perl"
libmount1,      2.20.1-5.1ubuntu20.7,   "libblkid1 (>= 2.17.2), libc6 (>= 2.14), libselinux1 (>= 1.32)"
libmp3lame0,    3.99.5+repack1-3ubuntu1,        "libc6 (>= 2.15)"
libmpc3,        1.0.1-1ubuntu1, "libc6 (>= 2.3.4), libgmp10, libmpfr4 (>= 3.1.2)"
libmpdec2,      2.4.0-6,        "libc6 (>= 2.14)"
libmpfr4,       3.1.2-1,        "libc6 (>= 2.14), libgmp10"
libmysqlclient18,       5.5.53-0ubuntu0.14.04.1,        "mysql-common (>= 5.5.53-0ubuntu0.14.04.1), libc6 (>= 2.17), zlib1g (>= 1:1.1.4)"
libncurses5,    5.9+20140118-1ubuntu1,  "libtinfo5 (= 5.9+20140118-1ubuntu1), libc6 (>= 2.15)"
libncursesw5,   5.9+20140118-1ubuntu1,  "libtinfo5 (= 5.9+20140118-1ubuntu1), libc6 (>= 2.15)"
libnetcdfc++4,  1:4.1.3-7ubuntu2,       "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libnetcdfc7, libstdc++6 (>= 4.4.0)"
libnetcdfc7,    1:4.1.3-7ubuntu2,       "libc6 (>= 2.14), libcurl3-gnutls (>= 7.16.2), libhdf5-7"
libnewmat10ldbl,        1.10.4-5,       "libc6 (>= 2.2.5), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.2.1)"
libnewt0.52,    0.52.15-2ubuntu5,       "libc6 (>= 2.15), libslang2 (>= 2.2.4)"
libnifti2,      2.0.0-2~nd14.04+1,      "neurodebian-popularity-contest, libc6 (>= 2.14), zlib1g (>= 1:1.1.4)"
libnih-dbus1,   1.0.3-4ubuntu25,        "libnih1 (= 1.0.3-4ubuntu25), libc6 (>= 2.3.4), libdbus-1-3 (>= 1.2.16)"
libnih1,        1.0.3-4ubuntu25,        ""
libnuma1,       2.0.9~rc5-1ubuntu3.14.04.2,     "libc6 (>= 2.14)"
libogg0,        1.3.1-1ubuntu1, "libc6 (>= 2.14)"
libopenjpeg2,   1.3+dfsg-4.7ubuntu1,    "libc6 (>= 2.15)"
libopenmpi1.6,  1.6.5-8,        "libc6 (>= 2.15), libcr0 (>= 0.8.2), libgcc1 (>= 1:4.1.1), libhwloc5, libibverbs1 (>= 1.1.2), libltdl7 (>= 2.4.2), libstdc++6 (>= 4.1.1), libtorque2 (>= 2.4.16+dfsg)"
libopus0,       1.1-0ubuntu1,   "libc6 (>= 2.14)"
liborc-0.4-0,   1:0.4.18-1ubuntu1,      "libc6 (>= 2.14)"
libp11-kit0,    0.20.2-2ubuntu2,        "libc6 (>= 2.16), libffi6 (>= 3.0.4)"
libpam-cap,     1:2.24-0ubuntu2,        "libc6 (>= 2.4), libcap2 (>= 2.10), libpam0g (>= 0.99.7.1), libpam-runtime (>= 1.1.3-2~)"
libpam-modules, 1.1.8-1ubuntu2.2,       ""
libpam-modules-bin,     1.1.8-1ubuntu2.2,       "libaudit1 (>= 1:2.2.1), libc6 (>= 2.14), libpam0g (>= 0.99.7.1), libselinux1 (>= 1.32)"
libpam-runtime, 1.1.8-1ubuntu2.2,       "debconf (>= 0.5) | debconf-2.0, debconf (>= 1.5.19) | cdebconf, libpam-modules (>= 1.0.1-6)"
libpam0g,       1.1.8-1ubuntu2.2,       "libaudit1 (>= 1:2.2.1), libc6 (>= 2.14), debconf (>= 0.5) | debconf-2.0"
