Package, version,Depends
libxdamage1,    1:1.1.4-1ubuntu1,       "libc6 (>= 2.2.5), libx11-6 (>= 2:1.4.99.1)"
libxdmcp6,      1:1.1.1-1,      "libc6 (>= 2.4)"
libxext6,       2:1.3.2-1ubuntu0.0.14.04.1,     "libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)"
libxfixes3,     1:5.0.1-1ubuntu1.1,     "libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)"
libxft2,        2.3.1-2,        "libc6 (>= 2.14), libfontconfig1 (>= 2.9.0), libfreetype6 (>= 2.3.5), libx11-6, libxrender1"
libxi6, 2:1.7.1.901-1ubuntu1.1, "libc6 (>= 2.14), libx11-6 (>= 2:1.6.0), libxext6"
libxinerama1,   2:1.1.3-1,      "libc6 (>= 2.2.5), libx11-6 (>= 2:1.4.99.1), libxext6"
libxml2,        2.9.1+dfsg1-3ubuntu4.8, "libc6 (>= 2.15), liblzma5 (>= 5.1.1alpha+20120614), zlib1g (>= 1:1.2.3.3)"
libxmu6,        2:1.1.1-1,      "libc6 (>= 2.14), libx11-6, libxext6, libxt6"
libxmuu1,       2:1.1.1-1,      "libc6 (>= 2.4), libx11-6"
libxpm4,        1:3.5.10-1,     "libc6 (>= 2.14), libx11-6"
libxrandr2,     2:1.5.0-1~trusty1,      "libc6 (>= 2.14), libx11-6 (>= 2:1.6.0), libxext6, libxrender1"
libxrender1,    1:0.9.8-1build0.14.04.1,        "libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)"
libxshmfence1,  1.1-2,  "libc6 (>= 2.4)"
libxslt1.1,     1.1.28-2build1, "libc6 (>= 2.17), libgcrypt11 (>= 1.4.5), libxml2 (>= 2.9.0)"
libxss1,        1:1.2.2-1,      "libc6 (>= 2.2.5), libx11-6 (>= 2:1.4.99.1), libxext6, x11-common"
libxt6, 1:1.1.4-1,      "libc6 (>= 2.14), libice6 (>= 1:1.0.0), libsm6, libx11-6"
libxtst6,       2:1.2.2-1,      "libc6 (>= 2.4), libx11-6 (>= 2:1.4.99.1), libxext6, x11-common"
libxv1, 2:1.0.10-1,     "libc6 (>= 2.14), libx11-6 (>= 2:1.6.0), libxext6"
libxvidcore4,   2:1.3.2-9ubuntu1,       "libc6 (>= 2.15)"
libxxf86dga1,   2:1.1.4-1,      "libc6 (>= 2.3.4), libx11-6 (>= 2:1.4.99.1), libxext6"
libxxf86vm1,    1:1.1.3-1,      "libc6 (>= 2.2.5), libx11-6 (>= 2:1.4.99.1), libxext6"
linux-libc-dev, 3.13.0-110.157, ""
locales,        2.13+git20120306-12.1,  "libc6 (>= 2.9-0ubuntu10) | libc6.1 (>= 2.9-0ubuntu10)"
lockfile-progs, 0.1.17, "libc6 (>= 2.8), liblockfile1 (>= 1.0)"
login,  1:4.1.5.1-1ubuntu9.2,   ""
logrotate,      3.8.7-1ubuntu1, "libacl1 (>= 2.2.51-8), libc6 (>= 2.14), libpopt0 (>= 1.14), libselinux1 (>= 1.32), cron | anacron | cron-daemon, base-passwd (>= 2.0.3.4)"
lsb-base,       4.1+Debian11ubuntu6.2,  ""
lsb-release,    4.1+Debian11ubuntu6.2,  "python3, python3:any (>= 3.3.2-2~)"
makedev,        2.3.1-93ubuntu1,        "base-passwd (>= 3.0.4)"
manpages,       3.54-1ubuntu1,  ""
manpages-dev,   3.54-1ubuntu1,  "manpages"
mawk,   1.3.3-17ubuntu2,        ""
mime-support,   3.54ubuntu1.1,  ""
module-init-tools,      15-0ubuntu6,    "libkmod2, kmod"
mount,  2.20.1-5.1ubuntu20.7,   ""
mountall,       2.53,   "makedev, udev, plymouth, coreutils (>= 7.1), libc6 (>= 2.9), libdbus-1-3 (>= 1.2.16), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0), libplymouth2 (>= 0.8.1-3), libudev1 (>= 183)"
multiarch-support,      2.19-0ubuntu6.9,        "libc6 (>= 2.3.6-2)"
mysql-common,   5.5.53-0ubuntu0.14.04.1,        ""
ncurses-base,   5.9+20140118-1ubuntu1,  ""
ncurses-bin,    5.9+20140118-1ubuntu1,  ""
net-tools,      1.60-25ubuntu2.1,       "libc6 (>= 2.14)"
netbase,        5.2,    "lsb-base (>= 3.0-6)"
netcat-openbsd, 1.105-7ubuntu1, "libbsd0 (>= 0.2.0), libc6 (>= 2.16)"
neurodebian-popularity-contest, 0.37.5~nd14.04+1,       "popularity-contest"
nodejs, 4.6.1-1nodesource1~trusty1,     "libc6 (>= 2.15), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), rlwrap"
ntpdate,        1:4.2.6.p5+dfsg-3ubuntu2.14.04.10,      "netbase, libc6 (>= 2.17), libssl1.0.0 (>= 1.0.1d)"
ocl-icd-libopencl1,     2.1.3-4,        "libc6 (>= 2.14)"
openssl,        1.0.1f-1ubuntu2.21,     "libc6 (>= 2.15), libssl1.0.0 (>= 1.0.1)"
passwd, 1:4.1.5.1-1ubuntu9.2,   "libaudit1 (>= 1:2.2.1), libc6 (>= 2.14), libpam0g (>= 0.99.7.1), libselinux1 (>= 1.32), libsemanage1 (>= 2.0.3), libpam-modules, debianutils (>= 2.15.2)"
perl,   5.18.2-2ubuntu1.1,      "perl-base (= 5.18.2-2ubuntu1.1), perl-modules (>= 5.18.2-2ubuntu1.1), libbz2-1.0, libc6 (>= 2.14), libdb5.3, libgdbm3 (>= 1.8.3), zlib1g (>= 1:1.2.2.3)"
perl-base,      5.18.2-2ubuntu1.1,      ""
perl-modules,   5.18.2-2ubuntu1.1,      "perl (>= 5.18.2-1)"
pkg-config,     0.26-1ubuntu4,  "libc6 (>= 2.14), libglib2.0-0 (>= 2.16.0), libpopt0 (>= 1.14)"
plymouth,       0.8.8-0ubuntu17.1,      "initramfs-tools, libplymouth2 (= 0.8.8-0ubuntu17.1), mountall (>= 2.0), upstart (>= 1.11-0ubuntu3), udev (>= 166-0ubuntu4), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), libc6 (>= 2.14), libdbus-1-3 (>= 1.1.1), libdrm2 (>= 2.4.25), libtinfo5"
popularity-contest,     1.57ubuntu1,    "debconf (>= 0.5) | debconf-2.0, dpkg (>= 1.10)"
procps, 1:3.3.9-1ubuntu2.2,     "libc6 (>= 2.15), libncurses5 (>= 5.5-5~), libncursesw5 (>= 5.6+20070908), libprocps3, libtinfo5, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 3.0-10), initscripts"
python, 2.7.5-5ubuntu3, "python2.7 (>= 2.7.5-1~), python-minimal (= 2.7.5-5ubuntu3), libpython-stdlib (= 2.7.5-5ubuntu3)"
python-cairo,   1.8.8-1ubuntu5, "libc6 (>= 2.14), libcairo2 (>= 1.8.6), python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)"
python-dateutil,        1.5+dfsg-1ubuntu1,      "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), tzdata"
python-decorator,       3.4.0-2build1,  "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)"
python-dev,     2.7.5-5ubuntu3, "python (= 2.7.5-5ubuntu3), libpython-dev (= 2.7.5-5ubuntu3), python2.7-dev (>= 2.7.5-1~)"
python-glade2,  2.24.0-3ubuntu3,        "python (>= 2.7), python (<< 2.8), libc6 (>= 2.2.5), libglade2-0 (>= 1:2.6.4-2~), libglib2.0-0 (>= 2.12.0), libgtk2.0-0 (>= 2.18.0), python-gtk2 (= 2.24.0-3ubuntu3)"
python-gobject-2,       2.28.6-12build1,        "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libc6 (>= 2.14), libffi6 (>= 3.0.4), libglib2.0-0 (>= 2.26.0)"
python-gtk2,    2.24.0-3ubuntu3,        "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libatk1.0-0 (>= 1.12.4), libc6 (>= 2.14), libcairo2 (>= 1.2.4), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.24.0), libgtk2.0-0 (>= 2.24.0), libpango-1.0-0 (>= 1.22.0), libpangocairo-1.0-0 (>= 1.21.4), python-cairo (>= 1.0.2-1.1), python-gobject-2 (>= 2.21.3)"
python-imaging, 2.3.0-1ubuntu3.3,       "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-pil"
python-matplotlib,      1.3.1-1ubuntu5, "python-dateutil, python-matplotlib-data (>= 1.3.1-1ubuntu5), python-pyparsing, python-tz, python (<< 2.8), python (>= 2.7), python-numpy (>= 1:1.8.0), python-numpy-abi9, python-support (>= 0.90.0), libc6 (>= 2.14), libfreetype6 (>= 2.2.1), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.12.0), libgtk2.0-0 (>= 2.8.0), libpng12-0 (>= 1.2.13-4), libstdc++6 (>= 4.6), libtcl8.6 (>= 8.6.0), libtk8.6 (>= 8.6.0)"
python-matplotlib-data, 1.3.1-1ubuntu5, "fonts-lyx"
python-minimal, 2.7.5-5ubuntu3, "python2.7-minimal (>= 2.7.5-1~), dpkg (>= 1.13.20)"
python-nose,    1.3.1-2,        "python-pkg-resources, python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python2.7:any"
python-numpy,   1:1.8.2-0ubuntu0.1,     "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python2.7:any, libblas3 | libblas.so.3, libc6 (>= 2.14), liblapack3 | liblapack.so.3"
python-pil,     2.3.0-1ubuntu3.3,       "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), mime-support | python-pil.imagetk, libc6 (>= 2.14), libfreetype6 (>= 2.2.1), libjpeg8 (>= 8c), liblcms2-2 (>= 2.2+git20110628), libtiff5 (>= 4.0.3), libwebp5, libwebpmux1, zlib1g (>= 1:1.1.4)"
python-pkg-resources,   3.3-1ubuntu2,   "python:any (>= 2.7), python:any (<< 2.8)"
python-pyparsing,       2.0.1+dfsg1-1build1,    "python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)"
python-scipy,   0.13.3-1build1, "python-decorator, python-six (>= 1.3.0), python-numpy (>= 1:1.8.0), python-numpy-abi9, python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libblas3 | libblas.so.3, libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libgfortran3 (>= 4.6), liblapack3 | liblapack.so.3, libstdc++6 (>= 4.1.1), libumfpack5.6.2"
python-setuptools,      3.3-1ubuntu2,   "python:any (>= 2.7), python:any (<< 2.8), python-pkg-resources (= 3.3-1ubuntu2)"
python-six,     1.9.0-3~bpo8+1~nd14.04+1,       "neurodebian-popularity-contest, python:any (>= 2.7.5-5~), python:any (<< 2.8)"
python-support, 1.0.15, "python (>= 2.5), python-minimal, dpkg (>= 1.14.19)"
python-tk,      2.7.5-1ubuntu1, "python (>= 2.7), python (<< 2.8), libc6 (>= 2.4), libtcl8.6 (>= 8.6.0), libtk8.6 (>= 8.6.0)"
python-tz,      2012c-1ubuntu0.1,       "tzdata, python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)"
python-vtk,     5.8.0-14.1ubuntu3,      "python (<< 2.8), python (>= 2.7), python-support (>= 0.90.0), libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libopenmpi1.6, libpython2.7 (>= 2.7), libstdc++6 (>= 4.2.1), libtcl8.6 (>= 8.6.0), libtk8.6 (>= 8.6.0), libvtk5.8, libx11-6, tcl-vtk"
python2.7,      2.7.6-8ubuntu0.3,       "python2.7-minimal (= 2.7.6-8ubuntu0.3), libpython2.7-stdlib (= 2.7.6-8ubuntu0.3), mime-support"
python2.7-dev,  2.7.6-8ubuntu0.3,       "python2.7 (= 2.7.6-8ubuntu0.3), libpython2.7-dev (= 2.7.6-8ubuntu0.3), libpython2.7 (= 2.7.6-8ubuntu0.3), libexpat1-dev"
python2.7-minimal,      2.7.6-8ubuntu0.3,       "libpython2.7-minimal (= 2.7.6-8ubuntu0.3), zlib1g (>= 1:1.2.0)"
python3,        3.4.0-0ubuntu2, "python3.4 (>= 3.4.0-0~), python3-minimal (= 3.4.0-0ubuntu2), libpython3-stdlib (= 3.4.0-0ubuntu2), dh-python"
python3-minimal,        3.4.0-0ubuntu2, "python3.4-minimal (>= 3.4.0-0~), dpkg (>= 1.13.20)"
python3.4,      3.4.3-1ubuntu1~14.04.4, "python3.4-minimal (= 3.4.3-1ubuntu1~14.04.4), libpython3.4-stdlib (= 3.4.3-1ubuntu1~14.04.4), mime-support"
python3.4-minimal,      3.4.3-1ubuntu1~14.04.4, "libpython3.4-minimal (= 3.4.3-1ubuntu1~14.04.4), libexpat1 (>= 2.1~beta3), zlib1g (>= 1:1.2.0)"
qdbus,  4:4.8.5+git192-g085f851+dfsg-2ubuntu4.1,        "qtchooser, libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libqt4-xml (= 4:4.8.5+git192-g085f851+dfsg-2ubuntu4.1), libqtcore4 (= 4:4.8.5+git192-g085f851+dfsg-2ubuntu4.1), libqtdbus4 (= 4:4.8.5+git192-g085f851+dfsg-2ubuntu4.1), libstdc++6 (>= 4.1.1)"
qt-assistant-compat,    4.6.3-6,        "libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libqt4-dbus (>= 4:4.8.1), libqt4-network (>= 4:4.8.1), libqt4-xml (>= 4:4.8.1), libqtcore4 (>= 4:4.8.1), libqtgui4 (>= 4:4.8.1), libstdc++6 (>= 4.1.1)"
qtchooser,      39-g4717841-3,  "libc6 (>= 2.4), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.1.1)"
qtcore4-l10n,   4:4.8.5+git192-g085f851+dfsg-2ubuntu4.1,        ""
readline-common,        6.3-4ubuntu2,   "dpkg (>= 1.15.4) | install-info"
resolvconf,     1.69ubuntu1.1,  "lsb-base, debconf (>= 0.5) | debconf-2.0, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16)"
rlwrap, 0.37-5, "libc6 (>= 2.15), libreadline6 (>= 6.0), libtinfo5"
rsyslog,        7.4.4-1ubuntu2.6,       "libc6 (>= 2.17), libestr0 (>= 0.1.4), libjson-c2 (>= 0.10), libuuid1 (>= 2.16), zlib1g (>= 1:1.1.4), init-system-helpers (>= 1.13~), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 4.1+Debian3), initscripts (>= 2.88dsf-13.3), adduser, ucf"
sed,    4.2.2-4ubuntu1, "dpkg (>= 1.15.4) | install-info"
sensible-utils, 0.0.9,  ""
sgml-base,      1.26+nmu4ubuntu1,       ""
shared-mime-info,       1.2-0ubuntu3,   "libc6 (>= 2.14), libglib2.0-0 (>= 2.35.9), libxml2 (>= 2.7.4)"
suckless-tools, 40-1,   "libc6 (>= 2.14), libx11-6, libxft2 (>> 2.1.1), libxinerama1, libxss1"
sudo,   1.8.9p5-1ubuntu1.2,     "libc6 (>= 2.15), libpam0g (>= 0.99.7.1), libselinux1 (>= 1.32), libpam-modules"
surf,   0.4.1-8,        "libc6 (>= 2.4), libglib2.0-0 (>= 2.12.0), libgtk2.0-0 (>= 2.24.0), libjavascriptcoregtk-1.0-0 (>= 1.5.1), libsoup2.4-1 (>= 2.26.1), libwebkitgtk-1.0-0 (>= 1.3.10), libx11-6, suckless-tools, x11-utils, xterm, wget"
sysv-rc,        2.88dsf-41ubuntu6.3,    "debconf (>= 0.5) | debconf-2.0, sysvinit-utils (>= 2.86.ds1-62), insserv (>> 1.12.0-10)"
sysvinit-utils, 2.88dsf-41ubuntu6.3,    "libc6 (>= 2.15), libselinux1 (>= 1.32), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16)"
tar,    1.27.1-1,       ""
tcl,    8.6.0+6ubuntu3, "tcl8.6 (>= 8.6.0-2)"
tcl-vtk,        5.8.0-14.1ubuntu3,      "libvtk5.8 (= 5.8.0-14.1ubuntu3), libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.1.1), libtcl8.6 (>= 8.6.0), libtk8.6 (>= 8.6.0), libx11-6"
tcl8.6, 8.6.1-4ubuntu1, "libc6 (>= 2.2.5), libtcl8.6 (>= 8.6.0)"
tcsh,   6.18.01-2,      "libc6 (>= 2.14), libtinfo5"
tk,     8.6.0+6ubuntu3, "tk8.6 (>= 8.6.0-2), tcl"
tk8.6,  8.6.1-3ubuntu2, "libc6 (>= 2.2.5), libtcl8.6 (>= 8.6.0), libtk8.6 (>= 8.6.0)"
tzdata, 2016f-0ubuntu0.14.04,   "debconf (>= 0.5) | debconf-2.0"
ubuntu-keyring, 2012.05.19,     ""
ubuntu-minimal, 1.325,  "adduser, apt, apt-utils, bzip2, console-setup, debconf, debconf-i18n, eject, gnupg, ifupdown, initramfs-tools, iproute2, iputils-ping, isc-dhcp-client, kbd, kmod, less, locales, lsb-release, makedev, mawk, net-tools, netbase, netcat-openbsd, ntpdate, passwd, procps, python3, resolvconf, rsyslog, sudo, tzdata, ubuntu-keyring, udev, upstart, ureadahead, vim-tiny, whiptail"
ucf,    3.0027+nmu1,    "debconf (>= 1.5.19), coreutils (>= 5.91)"
udev,   204-5ubuntu20.19,       "libacl1 (>= 2.2.51-8), libblkid1 (>= 2.19.1), libc6 (>= 2.17), libcgmanager0, libdbus-1-3 (>= 1.0.2), libkmod2 (>= 5~), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0), libselinux1 (>= 2.0.65), libudev1 (= 204-5ubuntu20.19), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 3.0-6), util-linux (>= 2.16), procps"
unzip,  6.0-9ubuntu1.5, "libbz2-1.0, libc6 (>= 2.14)"
upstart,        1.12.1-0ubuntu4.2,      "libc6 (>= 2.15), libdbus-1-3 (>= 1.2.16), libjson-c2 (>= 0.10), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0), libselinux1 (>= 1.32), libudev1 (>= 183), sysvinit-utils, initscripts, mountall, ifupdown (>= 0.6.10ubuntu5), libjson0 (>= 0.10-1.1ubuntu1), debianutils (>= 4)"
ureadahead,     0.100.0-16,     "e2fslibs (>= 1.42.2), libblkid1 (>= 2.16), libc6 (>= 2.4), libnih1 (>= 1.0.0), upstart (>= 0.6.0)"
util-linux,     2.20.1-5.1ubuntu20.7,   "lsb-base (>= 3.0-6), tzdata (>= 2006c-2), dpkg (>= 1.15.4) | install-info, debconf (>= 0.5) | debconf-2.0, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16)"
vim-common,     2:7.4.052-1ubuntu3,     "libc6 (>= 2.3.4)"
vim-tiny,       2:7.4.052-1ubuntu3,     "vim-common (= 2:7.4.052-1ubuntu3), libacl1 (>= 2.2.51-8), libc6 (>= 2.15), libselinux1 (>= 1.32), libtinfo5"
wget,   1.15-1ubuntu1.14.04.2,  "libc6 (>= 2.17), libidn11 (>= 1.13), libssl1.0.0 (>= 1.0.0), libuuid1 (>= 2.16), zlib1g (>= 1:1.1.4)"
whiptail,       0.52.15-2ubuntu5,       "libc6 (>= 2.14), libnewt0.52, libpopt0 (>= 1.14), libslang2 (>= 2.2.4)"
x11-common,     1:7.7+1ubuntu8.1,       "debconf (>= 0.5) | debconf-2.0, lsb-base (>= 1.3-9ubuntu2)"
x11-utils,      7.7+1,  "libc6 (>= 2.15), libfontconfig1 (>= 2.9.0), libfontenc1, libgl1-mesa-glx | libgl1, libx11-6, libx11-xcb1, libxaw7, libxcb-shape0, libxcb1 (>= 1.6), libxcomposite1 (>= 1:0.3-1), libxext6, libxft2 (>> 2.1.1), libxi6, libxinerama1, libxmu6, libxmuu1, libxrandr2 (>= 2:1.2.0), libxrender1, libxt6, libxtst6, libxv1, libxxf86dga1, libxxf86vm1"
xbitmaps,       1.1.1-2,        ""
xkb-data,       2.10.1-1ubuntu1,        ""
xml-core,       0.13+nmu2,      "sgml-base (>= 1.26+nmu2), sed (>= 4.1.2-8)"
xterm,  297-1ubuntu1,   "xbitmaps, libc6 (>= 2.15), libfontconfig1 (>= 2.9.0), libice6 (>= 1:1.0.0), libtinfo5, libutempter0 (>= 1.1.5), libx11-6, libxaw7, libxft2 (>> 2.1.1), libxmu6, libxpm4, libxt6"
zip,    3.0-8,  "libbz2-1.0, libc6 (>= 2.14)"
zlib1g, 1:1.2.8.dfsg-1ubuntu1,  "libc6 (>= 2.14)"
zlib1g-dev,     1:1.2.8.dfsg-1ubuntu1,  "zlib1g (= 1:1.2.8.dfsg-1ubuntu1), libc6-dev | libc-dev"
